id,observed_on,user_id,quality_grade,url,image_url,description,place_guess,latitude,longitude,geoprivacy,taxon_geoprivacy,coordinates_obscured,scientific_name,common_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
34994,2009-12-03,3184,research,http://www.inaturalist.org/observations/34994,https://static.inaturalist.org/photos/59426/medium.jpg,"","Ranomafana, Madagascar",-21.26269,47.452091,,open,false,Phelsuma quadriocellata,Peacock Day Gecko,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma quadriocellata,
35004,2007-01-19,3184,research,http://www.inaturalist.org/observations/35004,https://static.inaturalist.org/photos/59436/medium.jpg?1401930598,"",,-21.3570640017,47.52475659,,obscured,true,Furcifer balteatus,Two-banded Chameleon,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Furcifer,Furcifer balteatus,
35017,2009-12-05,3184,research,http://www.inaturalist.org/observations/35017,https://static.inaturalist.org/photos/59452/medium.jpg,"","Vohiparara, Ranomafana, Madagascar",-21.2372144073,47.3936676979,,open,false,Uroplatus phantasticus,Satanic Leaf-tailed Gecko,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,Uroplatus phantasticus,
35614,2009-12-04,3184,research,http://www.inaturalist.org/observations/35614,https://static.inaturalist.org/photos/60309/medium.jpg,"","Vohiparara, Ranomafana, Madagascar",-21.2372144073,47.3936676979,,,false,Mantidactylus betsileanus,Betsileo Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus,Mantidactylus betsileanus,
35616,2007-01-19,3184,needs_id,http://www.inaturalist.org/observations/35616,https://static.inaturalist.org/photos/60311/medium.jpg,Perhaps an Anodonthyla? I couldn't find anything in the guide with assymetric blotches.,"Ranomafana, Madagascar",-21.2626927834,47.4275279045,,,false,Anodonthyla,,Animalia,Chordata,Amphibia,Anura,Microhylidae,Anodonthyla,,
35618,2009-12-04,3184,research,http://www.inaturalist.org/observations/35618,https://static.inaturalist.org/photos/60313/medium.jpg,Seen in Vohipara.,"Vohiparara, Ranomafana, Madagascar",-21.2372144073,47.3936676979,,,false,Guibemantis liber,Free Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Guibemantis,Guibemantis liber,
35621,2009-12-05,3184,needs_id,http://www.inaturalist.org/observations/35621,https://static.inaturalist.org/photos/60316/medium.jpg,"","Vohiparara, Ranomafana, Madagascar",-21.2377004174,47.3930829763,,,false,Gephyromantis sculpturatus,Sculpted Madagascar Frog,Animalia,Chordata,Amphibia,Anura,Mantellidae,Gephyromantis,Gephyromantis sculpturatus,
36393,2005-10-27,3320,research,http://www.inaturalist.org/observations/36393,https://static.inaturalist.org/photos/61236/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Phelsuma quadriocellata quadriocellata,,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma quadriocellata,Phelsuma quadriocellata quadriocellata
36394,2005-10-27,3320,research,http://www.inaturalist.org/observations/36394,https://static.inaturalist.org/photos/61237/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Phelsuma quadriocellata quadriocellata,,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma quadriocellata,Phelsuma quadriocellata quadriocellata
36395,2005-10-27,3320,research,http://www.inaturalist.org/observations/36395,https://static.inaturalist.org/photos/61238/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Zonosaurus ornatus,Ornate Girdled Lizard,Animalia,Chordata,Reptilia,Squamata,Gerrhosauridae,Zonosaurus,Zonosaurus ornatus,
36396,2005-10-27,3320,research,http://www.inaturalist.org/observations/36396,https://static.inaturalist.org/photos/61239/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Mantidactylus melanopleura,,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus,Mantidactylus melanopleura,
36397,2005-10-27,3320,research,http://www.inaturalist.org/observations/36397,https://static.inaturalist.org/photos/61240/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Ptychadena mascareniensis,Mascarene Ridged Frog,Animalia,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena mascareniensis,
36398,2005-10-27,3320,research,http://www.inaturalist.org/observations/36398,https://static.inaturalist.org/photos/61241/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Mantidactylus melanopleura,,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantidactylus,Mantidactylus melanopleura,
36399,2005-10-27,3320,research,http://www.inaturalist.org/observations/36399,https://static.inaturalist.org/photos/61243/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Mantella baroni,Baron's Mantella,Animalia,Chordata,Amphibia,Anura,Mantellidae,Mantella,Mantella baroni,
36400,2005-10-27,3320,research,http://www.inaturalist.org/observations/36400,https://static.inaturalist.org/photos/61246/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Ptychadena mascareniensis,Mascarene Ridged Frog,Animalia,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena mascareniensis,
36401,2005-10-27,3320,research,http://www.inaturalist.org/observations/36401,https://static.inaturalist.org/photos/61247/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ranomafana National Park,-21.3678791,47.3902404,,open,false,Uroplatus phantasticus,Satanic Leaf-tailed Gecko,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,Uroplatus phantasticus,
36940,2006-02-01,3320,research,http://www.inaturalist.org/observations/36940,https://static.inaturalist.org/photos/62000/medium.jpg,"A Calumma brevicorne which was observed whilst being photographed to eat a small Lygodactylus(?) gecko.

For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,open,false,Calumma brevicorne,Short-horned Chameleon,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,Calumma brevicorne,
36942,2006-02-01,3320,research,http://www.inaturalist.org/observations/36942,https://static.inaturalist.org/photos/62002/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,,false,Sanzinia madagascariensis,Madagascar tree boa,Animalia,Chordata,Reptilia,Squamata,Boidae,Sanzinia,Sanzinia madagascariensis,
36944,2006-02-01,3320,research,http://www.inaturalist.org/observations/36944,https://static.inaturalist.org/photos/62004/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,open,false,Calumma brevicorne,Short-horned Chameleon,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,Calumma brevicorne,
36945,2006-02-01,3320,research,http://www.inaturalist.org/observations/36945,https://static.inaturalist.org/photos/62005/medium.jpg?1401754322,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com","Fianarantsoa, MG",-21.1397878643,47.2890301736,,obscured,true,Calumma oshaughnessyi,O'Shaughnessy's Chameleon,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,Calumma oshaughnessyi,
36947,2006-01-31,3320,research,http://www.inaturalist.org/observations/36947,https://static.inaturalist.org/photos/62007/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,open,false,Ptychadena mascareniensis,Mascarene Ridged Frog,Animalia,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena mascareniensis,
36948,2006-01-31,3320,research,http://www.inaturalist.org/observations/36948,https://static.inaturalist.org/photos/62008/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,open,false,Ptychadena mascareniensis,Mascarene Ridged Frog,Animalia,Chordata,Amphibia,Anura,Ptychadenidae,Ptychadena,Ptychadena mascareniensis,
36949,2006-01-31,3320,research,http://www.inaturalist.org/observations/36949,https://static.inaturalist.org/photos/62009/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,open,false,Calumma brevicorne,Short-horned Chameleon,Animalia,Chordata,Reptilia,Squamata,Chamaeleonidae,Calumma,Calumma brevicorne,
36950,2006-02-01,3320,research,http://www.inaturalist.org/observations/36950,https://static.inaturalist.org/photos/62010/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,open,false,Phelsuma quadriocellata,Peacock Day Gecko,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma quadriocellata,
36951,2006-02-01,3320,research,http://www.inaturalist.org/observations/36951,https://static.inaturalist.org/photos/62011/medium.jpg,"For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,open,false,Phelsuma quadriocellata,Peacock Day Gecko,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Phelsuma,Phelsuma quadriocellata,
36952,2006-02-01,3320,research,http://www.inaturalist.org/observations/36952,https://static.inaturalist.org/photos/61998/medium.jpg,"Lygodactylus observed standing next to a wasp nest. It showed neither a particular interest in nor fear of the wasps.

For further information, to see additional images or to enquire about using my photos, feel free to contact me via www.madagascar-photography.com",Ialatsara Camp,-21.0690389861,47.2104299068,,open,false,Lygodactylus verticillatus,Mocquard's Dwarf Gecko,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Lygodactylus,Lygodactylus verticillatus,
